,id,folder,p_value
0,0,documents_to_be_scraped,0.014
1,3,documents_to_be_scraped,0.562
2,7,documents_to_be_scraped,0.47
3,7,documents_to_be_scraped,0.02
4,7,documents_to_be_scraped,0.821
5,7,documents_to_be_scraped,0.21
6,10,documents_to_be_scraped,0.0023
7,10,documents_to_be_scraped,0.15
8,10,documents_to_be_scraped,0.05
9,10,documents_to_be_scraped,0.041
10,10,documents_to_be_scraped,0.03
11,10,documents_to_be_scraped,0.003
12,10,documents_to_be_scraped,0.9
13,10,documents_to_be_scraped,0.006
14,10,documents_to_be_scraped,0.023
15,10,documents_to_be_scraped,0.002
16,10,documents_to_be_scraped,0.026
17,10,documents_to_be_scraped,0.042
18,10,documents_to_be_scraped,0.027
